global_step,seen_tokens,lr,recent_loss,val_ppl,best_val_ppl,patience_count
100,819k,2.049e-05,1.7671,24.11,24.11,0
200,1.64M,4.098e-05,0.1931,29.32,24.11,1
300,2.46M,5e-05,0.1182,40.02,24.11,2
400,3.28M,4.998e-05,4.5254,705.83,24.11,3
