global_step,seen_tokens,lr,recent_loss,val_ppl,best_val_ppl,patience_count
50,2.4M,9.91e-05,2.7109,17.47,17.47,0
100,4.8M,9.511e-05,2.5332,16.64,16.64,0
150,7.2M,8.817e-05,2.4043,16.19,16.19,0
200,9.6M,7.874e-05,2.2952,15.98,15.98,0
250,12M,6.744e-05,2.2129,15.91,15.91,0
300,14.4M,5.499e-05,2.1440,15.74,15.74,0
350,16.8M,4.222e-05,2.0903,15.73,15.73,0
400,19.2M,2.995e-05,2.0452,15.70,15.70,0
450,21.6M,1.9e-05,2.0129,15.59,15.59,0
500,24M,1.007e-05,1.9934,15.82,15.59,0
550,26.4M,3.745e-06,1.9869,15.58,15.58,0
600,28.8M,4.432e-07,1.9786,15.49,15.49,0
625,30M,6.566e-10,1.9808,15.48,15.48,0
