global_step,seen_tokens,lr,recent_loss,eval_s,ckpt_s,svg_s,meta_s,log_s,val_ppl,best_val_ppl,patience_count
52000,2.5B,0.0002176,4.1658,9.85,1.60,0.00,0.00,1.61,66.42,66.42,0
53000,2.54B,0.0002163,4.1750,9.90,1.32,0.00,0.00,1.33,66.31,66.31,0
54000,2.59B,0.000215,4.1593,10.10,1.29,0.00,0.00,1.30,65.59,65.59,0
55000,2.64B,0.0002137,4.1564,9.86,1.57,0.01,0.00,1.58,65.32,65.32,0
56000,2.69B,0.0002123,4.1572,9.92,1.33,0.00,0.00,1.34,65.29,65.29,0
57000,2.74B,0.0002109,4.1554,9.80,1.34,0.00,0.00,1.35,64.77,64.77,1
58000,2.78B,0.0002095,4.1490,9.85,0.00,0.01,0.00,0.01,64.84,64.77,0
59000,2.83B,0.0002081,4.1458,9.82,1.30,0.00,0.00,1.31,64.75,64.75,1
60000,2.88B,0.0002066,4.1461,9.85,1.33,0.00,0.00,1.33,64.58,64.58,2
61000,2.93B,0.0002052,4.1398,10.08,1.37,0.00,0.00,1.39,64.10,64.10,0
62000,2.98B,0.0002037,4.1347,9.85,0.00,0.01,0.00,0.01,64.43,64.10,0
63000,3.02B,0.0002022,4.1414,9.85,0.00,0.01,0.00,0.01,64.23,64.10,1
64000,3.07B,0.0002007,4.1393,9.93,1.29,0.01,0.04,1.34,63.80,63.80,2
65000,3.12B,0.0001991,4.1257,9.78,0.00,0.03,0.00,0.03,63.92,63.80,0
66000,3.17B,0.0001976,4.1205,9.83,1.31,0.00,0.00,1.32,63.44,63.44,1
67000,3.22B,0.000196,4.1224,9.82,1.31,0.00,0.00,1.32,63.28,63.28,0
68000,3.26B,0.0001944,4.1229,9.86,1.32,0.00,0.00,1.33,63.16,63.16,0
69000,3.31B,0.0001928,4.1255,9.79,1.42,0.01,0.03,1.45,63.08,63.08,0
70000,3.36B,0.0001912,4.1089,9.87,1.32,0.00,0.02,1.35,63.04,63.04,1
71000,3.41B,0.0001895,4.1045,9.95,2.11,0.00,0.00,2.12,62.25,62.25,2
72000,3.46B,0.0001879,4.1086,9.77,0.00,0.01,0.00,0.01,62.55,62.25,0
73000,3.5B,0.0001862,4.1110,9.89,1.29,0.00,0.00,1.30,62.16,62.16,1
74000,3.55B,0.0001845,4.1072,10.04,0.00,0.01,0.00,0.01,62.61,62.16,2
75000,3.6B,0.0001828,4.1011,9.83,1.95,0.00,0.00,1.97,62.08,62.08,3
76000,3.65B,0.0001811,4.1033,9.79,0.00,0.01,0.00,0.01,62.50,62.08,4
77000,3.7B,0.0001794,4.0999,9.81,1.47,0.01,0.00,1.48,61.82,61.82,5
78000,3.74B,0.0001776,4.0916,9.86,1.46,0.00,0.00,1.47,61.55,61.55,0
79000,3.79B,0.0001759,4.0910,9.78,1.42,0.00,0.01,1.43,61.35,61.35,0
80000,3.84B,0.0001741,4.0855,9.86,0.00,0.01,0.00,0.01,61.65,61.35,0
81000,3.89B,0.0001724,4.0872,9.90,1.38,0.00,0.00,1.39,60.94,60.94,1
82000,3.94B,0.0001706,4.0866,9.80,0.00,0.01,0.00,0.01,60.99,60.94,0
83000,3.98B,0.0001688,4.0799,9.80,1.34,0.00,0.00,1.35,60.54,60.54,1
84000,4.03B,0.000167,4.0829,9.90,0.00,0.01,0.00,0.01,60.90,60.54,0
85000,4.08B,0.0001651,4.0745,9.78,0.00,0.01,0.00,0.01,60.61,60.54,1
86000,4.13B,0.0001633,4.0702,9.78,1.34,0.00,0.00,1.35,60.43,60.43,2
87000,4.18B,0.0001615,4.0720,9.84,1.39,0.00,0.00,1.40,60.01,60.01,0
88000,4.22B,0.0001596,4.0654,9.94,0.00,0.01,0.00,0.01,60.34,60.01,0
89000,4.27B,0.0001578,4.0682,9.82,1.39,0.00,0.00,1.41,59.86,59.86,1
90000,4.32B,0.0001559,4.0639,9.81,1.28,0.00,0.00,1.29,59.61,59.61,0
91000,4.37B,0.0001541,4.0622,9.80,1.44,0.00,0.00,1.45,59.49,59.49,0
92000,4.42B,0.0001522,4.0602,9.79,1.21,0.01,0.00,1.23,59.49,59.49,0
93000,4.46B,0.0001503,4.0577,9.85,1.23,0.01,0.01,1.25,59.26,59.26,1
94000,4.51B,0.0001484,4.0474,9.88,1.32,0.00,0.00,1.33,59.22,59.22,0
95000,4.56B,0.0001465,4.0497,9.86,0.00,0.01,0.00,0.01,59.22,59.22,1
96000,4.61B,0.0001446,4.0521,9.93,1.36,0.00,0.00,1.37,58.74,58.74,2
97000,4.66B,0.0001427,4.0484,9.84,1.36,0.01,0.00,1.37,58.49,58.49,0
98000,4.7B,0.0001408,4.0325,9.87,2.53,0.00,0.00,2.54,58.47,58.47,0
99000,4.75B,0.0001389,4.0393,9.98,0.00,0.01,0.00,0.01,58.78,58.47,1
100000,4.8B,0.000137,4.0399,9.81,1.37,0.00,0.00,1.38,58.27,58.27,2
101000,4.85B,0.0001351,4.0352,9.85,2.32,0.00,0.00,2.33,57.86,57.86,0
102000,4.9B,0.0001332,4.0316,10.57,0.00,0.00,0.00,0.00,58.03,57.86,0
103000,4.94B,0.0001313,4.0289,9.85,0.00,0.01,0.00,0.01,58.14,57.86,1
104000,4.99B,0.0001293,4.0352,9.89,1.55,0.00,0.00,1.56,57.56,57.56,2
105000,5.04B,0.0001274,4.0215,9.83,0.00,0.01,0.00,0.01,57.63,57.56,0
106000,5.09B,0.0001255,4.0191,9.91,0.00,0.01,0.00,0.01,57.75,57.56,1
107000,5.14B,0.0001236,4.0258,9.83,1.29,0.01,0.03,1.32,57.56,57.56,2
108000,5.18B,0.0001216,4.0208,9.80,1.33,0.00,0.00,1.34,57.20,57.20,3
109000,5.23B,0.0001197,4.0238,9.88,1.31,0.00,0.00,1.32,57.16,57.16,0
110000,5.28B,0.0001178,4.0118,10.34,1.54,0.00,0.00,1.57,56.67,56.67,1
111000,5.33B,0.0001159,4.0114,9.79,0.00,0.01,0.00,0.01,57.00,56.67,0
112000,5.38B,0.000114,4.0163,9.82,0.00,0.01,0.00,0.01,57.00,56.67,1
113000,5.42B,0.000112,4.0038,9.84,1.24,0.01,0.01,1.26,56.59,56.59,2
114000,5.47B,0.0001101,4.0056,9.84,0.00,0.01,0.00,0.01,56.88,56.59,3
115000,5.52B,0.0001082,3.9990,9.77,1.30,0.00,0.00,1.31,56.22,56.22,4
116000,5.57B,0.0001063,4.0072,9.90,0.00,0.01,0.00,0.01,56.47,56.22,0
117000,5.62B,0.0001044,3.9961,11.10,0.00,0.01,0.00,0.01,56.24,56.22,1
