1global_step,seen_tokens,lr,recent_loss,step_ms,tok_s_M,vram_gb,val_ppl,best_val_ppl,saved
100000,4.8B,0.000137,4.1110,,,,58.32,58.32,1
101000,4.85B,0.0001351,4.1147,,,,58.31,58.31,1
102000,4.9B,0.0001332,4.1088,,,,58.68,58.31,0
103000,4.94B,0.0001313,4.1007,,,,58.04,58.04,1
104000,4.99B,0.0001293,4.1057,,,,58.59,58.04,0
105000,5.04B,0.0001274,4.1037,,,,57.70,57.70,1
106000,5.09B,0.0001255,4.1018,,,,57.50,57.50,1
107000,5.14B,0.0001236,4.0976,,,,57.86,57.50,0
108000,5.18B,0.0001216,4.0931,,,,57.48,57.48,1
109000,5.23B,0.0001197,4.0947,,,,57.85,57.48,0
110000,5.28B,0.0001178,4.0953,,,,57.27,57.27,1
111000,5.33B,0.0001159,4.0910,,,,56.97,56.97,1
112000,5.38B,0.000114,4.0880,,,,56.97,56.97,1
113000,5.42B,0.000112,4.0900,,,,56.65,56.65,1
114000,5.47B,0.0001101,4.0853,,,,56.58,56.58,1
115000,5.52B,0.0001082,4.0763,,,,56.97,56.58,0
116000,5.57B,0.0001063,4.0829,,,,56.25,56.25,1
117000,5.62B,0.0001044,4.0675,,,,56.28,56.25,0
118000,5.66B,0.0001025,4.0740,,,,56.10,56.10,1
119000,5.71B,0.0001006,4.0669,,,,55.87,55.87,1
120000,5.76B,9.875e-05,4.0691,,,,55.65,55.65,1
121000,5.81B,9.687e-05,4.0713,,,,55.78,55.65,0
122000,5.86B,9.5e-05,4.0684,,,,56.09,55.65,0
123000,5.9B,9.314e-05,4.0649,,,,55.46,55.46,1
124000,5.95B,9.128e-05,4.0671,,,,55.66,55.46,0
125000,6B,8.944e-05,4.0557,,,,55.21,55.21,1
126000,6.05B,8.76e-05,4.0551,,,,55.22,55.21,0
127000,6.1B,8.577e-05,4.0548,,,,54.63,54.63,1
128000,6.14B,8.394e-05,4.0493,,,,54.97,54.63,0
129000,6.19B,8.213e-05,4.0489,,,,54.58,54.58,1
130000,6.24B,8.033e-05,4.0432,,,,54.55,54.55,1
131000,6.29B,7.854e-05,4.0395,,,,54.68,54.55,0
132000,6.34B,7.676e-05,4.0396,,,,54.47,54.47,1
133000,6.38B,7.499e-05,4.0397,,,,54.12,54.12,1
