global_step,seen_tokens,lr,recent_loss,val_ppl,best_val_ppl,patience_count
74000,2.42B,9.979e-05,3.7388,41.83,41.83,0
75000,2.46B,9.978e-05,3.7208,41.43,41.43,0
76000,2.49B,9.977e-05,3.7012,42.95,41.43,1
77000,2.52B,9.976e-05,3.7002,43.13,41.43,2
78000,2.56B,9.975e-05,3.7404,41.22,41.22,0
79000,2.59B,9.974e-05,3.7187,41.95,41.22,1
80000,2.62B,9.973e-05,3.7146,41.82,41.22,2
81000,2.65B,9.972e-05,3.7212,41.84,41.22,3
82000,2.69B,9.971e-05,3.7070,41.42,41.22,4
83000,2.72B,9.97e-05,3.7013,40.72,40.72,0
84000,2.75B,9.968e-05,3.7050,41.14,40.72,1
85000,2.79B,9.967e-05,3.6998,40.06,40.06,0
86000,2.82B,9.966e-05,3.7125,41.56,40.06,1
87000,2.85B,9.965e-05,3.7033,40.21,40.06,2
88000,2.88B,9.964e-05,3.6861,40.14,40.06,3
89000,2.92B,9.962e-05,3.6649,39.98,39.98,0
90000,2.95B,9.961e-05,3.6733,39.88,39.88,0
91000,2.98B,9.96e-05,3.6784,40.12,39.88,1
92000,3.01B,9.958e-05,3.6578,39.64,39.64,0
93000,3.05B,9.957e-05,3.6664,40.14,39.64,1
94000,3.08B,9.956e-05,3.6547,38.93,38.93,0
95000,3.11B,9.954e-05,3.6637,40.46,38.93,1
96000,3.15B,9.953e-05,3.6408,39.63,38.93,2
97000,3.18B,9.951e-05,3.6786,39.47,38.93,3
98000,3.21B,9.95e-05,3.6539,38.90,38.90,0
99000,3.24B,9.948e-05,3.6332,38.16,38.16,0
100000,3.28B,9.947e-05,3.6347,39.12,38.16,1
101000,3.31B,9.945e-05,3.6385,38.22,38.16,2
102000,3.34B,9.944e-05,3.6415,38.06,38.06,0
103000,3.38B,9.942e-05,3.6447,38.33,38.06,1
104000,3.41B,9.941e-05,3.6356,38.52,38.06,2
105000,3.44B,9.939e-05,3.6219,38.07,38.06,3
106000,3.47B,9.937e-05,3.6421,38.29,38.06,4
107000,3.51B,9.936e-05,3.6128,37.80,37.80,0
108000,3.54B,9.934e-05,3.6187,38.13,37.80,1
109000,3.57B,9.932e-05,3.6336,37.72,37.72,0
110000,3.6B,9.93e-05,3.6351,37.75,37.72,1
111000,3.64B,9.929e-05,3.6400,37.96,37.72,2
112000,3.67B,9.927e-05,3.6123,37.97,37.72,3
113000,3.7B,9.925e-05,3.6182,37.35,37.35,0
114000,3.74B,9.923e-05,3.6277,37.42,37.35,1
115000,3.77B,9.921e-05,3.5999,38.14,37.35,2
116000,3.8B,9.92e-05,3.6128,38.52,37.35,3
117000,3.83B,9.918e-05,3.5778,37.23,37.23,0
118000,3.87B,9.916e-05,3.6101,37.32,37.23,1
119000,3.9B,9.914e-05,3.6104,37.64,37.23,2
120000,3.93B,9.912e-05,3.6224,38.21,37.23,3
121000,3.96B,9.91e-05,3.6100,36.64,36.64,0
122000,4B,9.908e-05,3.5998,37.68,36.64,1
123000,4.03B,9.906e-05,3.6055,37.62,36.64,2
124000,4.06B,9.904e-05,3.6021,37.34,36.64,3
125000,4.1B,9.902e-05,3.6203,37.01,36.64,4
126000,4.13B,9.9e-05,3.6144,37.02,36.64,5
127000,4.16B,9.898e-05,3.5773,37.18,36.64,6
128000,4.19B,9.896e-05,3.6034,36.56,36.56,0
129000,4.23B,9.893e-05,3.5884,36.74,36.56,1
130000,4.26B,9.891e-05,3.5871,36.45,36.45,0
131000,4.29B,9.889e-05,3.6209,36.40,36.40,0
132000,4.33B,9.887e-05,3.5771,36.55,36.40,1
133000,4.36B,9.885e-05,3.5713,37.11,36.40,2
134000,4.39B,9.882e-05,3.5823,36.57,36.40,3
135000,4.42B,9.88e-05,3.5737,36.90,36.40,4
136000,4.46B,9.878e-05,3.5652,36.52,36.40,5
137000,4.49B,9.875e-05,3.5759,35.98,36.40,0
138000,4.52B,9.873e-05,3.5724,36.53,36.40,1
139000,4.55B,9.871e-05,3.5561,36.66,36.40,2
140000,4.59B,9.868e-05,3.6319,37.95,36.40,3
141000,4.62B,9.866e-05,3.5790,36.42,36.40,4
142000,4.65B,9.863e-05,3.5688,36.09,36.09,0
143000,4.69B,9.861e-05,3.5578,36.03,36.03,0
144000,4.72B,9.859e-05,3.5528,36.28,36.03,1
145000,4.75B,9.856e-05,3.5803,35.46,36.03,0
146000,4.78B,9.854e-05,3.5534,35.53,35.53,0
147000,4.82B,9.851e-05,3.5683,35.52,35.52,1
148000,4.85B,9.848e-05,3.5759,36.40,35.52,2
149000,4.88B,9.846e-05,3.5575,36.67,35.52,3
150000,4.92B,9.843e-05,3.5418,36.09,35.52,4
151000,4.95B,9.841e-05,3.6348,38.27,35.52,5
152000,4.98B,9.838e-05,3.7538,41.89,35.52,6
153000,5.01B,9.835e-05,3.5568,36.40,35.52,7
154000,5.05B,9.833e-05,3.5479,36.07,35.52,8
155000,5.08B,9.83e-05,3.5479,35.15,35.15,0
156000,5.11B,9.827e-05,3.5813,35.31,35.15,1
157000,5.14B,9.825e-05,3.5594,35.37,35.15,2
158000,5.18B,9.822e-05,3.5550,35.31,35.15,3
159000,5.21B,9.819e-05,3.8982,49.37,35.15,4
160000,5.24B,9.816e-05,3.8349,49.31,35.15,5
161000,5.28B,9.813e-05,3.5967,38.26,35.15,6
162000,5.31B,9.81e-05,3.6244,38.40,35.15,7
163000,5.34B,9.808e-05,3.6663,41.82,35.15,8
164000,5.37B,9.805e-05,3.5491,35.65,35.15,9
165000,5.41B,9.802e-05,5.8594,319.99,35.15,10
