global_step,seen_tokens,lr,recent_loss,eval_s,ckpt_s,svg_s,meta_s,log_s,val_ppl,best_val_ppl,patience_count
50,2.56M,0.00025,8.2191,3.58,3.87,0.00,0.02,3.92,3721.12,3721.12,0
100,5.12M,0.0002494,8.2063,1.99,1.35,0.01,0.01,1.37,3703.02,3703.02,0
150,7.68M,0.000248,8.2136,1.98,0.00,0.01,0.00,0.01,3719.96,3703.02,0
200,10.2M,0.0002457,8.2141,2.02,1.37,0.03,0.02,1.42,3629.33,3629.33,1
250,12.8M,0.0002427,8.0999,2.03,7.92,0.03,0.08,8.02,3328.64,3328.64,0
300,15.4M,0.0002388,7.9932,2.07,1.27,0.03,0.01,1.31,2978.79,2978.79,0
350,17.9M,0.0002342,7.9528,2.05,1.84,0.00,0.25,2.10,2846.69,2846.69,0
400,20.5M,0.0002288,7.8482,2.13,2.00,0.02,0.31,2.34,2578.54,2578.54,0
450,23M,0.0002228,7.7431,2.08,3.86,0.03,0.05,3.94,2263.15,2263.15,0
500,25.6M,0.0002161,7.7280,2.08,0.00,0.01,0.00,0.01,2271.59,2263.15,0
550,28.2M,0.0002087,7.6078,2.08,1.47,0.06,0.02,1.54,2025.32,2025.32,1
600,30.7M,0.0002009,7.6009,2.06,3.56,0.01,0.01,3.57,1982.52,1982.52,0
650,33.3M,0.0001925,7.6237,2.06,0.00,0.00,0.00,0.00,2017.83,1982.52,0
700,35.8M,0.0001836,7.5281,2.08,2.64,0.36,0.05,3.05,1853.50,1853.50,1
750,38.4M,0.0001744,7.8440,2.08,0.00,0.08,0.00,0.08,2533.14,1853.50,0
800,41M,0.0001648,7.4620,2.08,3.97,0.04,0.08,4.10,1757.60,1757.60,1
