global_step,seen_tokens,lr,recent_loss,val_ppl,best_val_ppl,patience_count
100,2.56M,5e-05,3.9466,70.92,70.92,0
200,5.12M,4.988e-05,3.4572,67.54,67.54,0
300,7.68M,4.959e-05,3.0460,67.55,67.54,1
400,10.2M,4.914e-05,2.6828,69.32,67.54,2
500,12.8M,4.852e-05,2.3513,73.02,67.54,3
600,15.4M,4.775e-05,2.0378,75.02,67.54,4
700,17.9M,4.682e-05,1.7889,80.85,67.54,5
800,20.5M,4.575e-05,1.5355,86.64,67.54,6
900,23M,4.454e-05,1.3207,92.06,67.54,7
1000,25.6M,4.32e-05,1.1240,96.95,67.54,8
1100,28.2M,4.173e-05,0.9496,103.47,67.54,9
1200,30.7M,4.015e-05,0.8036,109.04,67.54,10
