global_step,seen_tokens,lr,recent_loss,val_ppl,best_val_ppl,patience_count
500,12.8M,1.92e-06,9.0581,8547.36,8547.36,0
1000,25.6M,3.84e-06,8.3433,4221.37,4221.37,0
1500,38.4M,5.76e-06,8.2159,3631.16,3631.16,0
2000,51.2M,7.68e-06,8.1942,3615.83,3615.83,0
2500,64M,9.6e-06,8.1721,3465.01,3465.01,0
3000,76.8M,1.152e-05,8.1194,3368.90,3368.90,0
3500,89.6M,1.344e-05,7.9574,2845.05,2845.05,0
4000,102M,1.536e-05,7.7561,2328.99,2328.99,0
4500,115M,1.728e-05,7.5895,1985.71,1985.71,0
5000,128M,1.92e-05,7.5005,1807.01,1807.01,0
5500,141M,2.112e-05,7.3127,1492.33,1492.33,0
6000,154M,2.304e-05,7.1703,1310.07,1310.07,0
6500,166M,2.496e-05,7.0654,1160.29,1160.29,0
7000,179M,2.688e-05,6.9552,1044.02,1044.02,0
7500,192M,2.88e-05,6.8084,900.86,900.86,0
8000,205M,3.072e-05,6.8029,929.27,900.86,1
8500,218M,3.264e-05,6.6436,768.32,768.32,0
9000,230M,3.456e-05,6.5309,691.47,691.47,0
9500,243M,3.648e-05,6.4582,636.83,636.83,0
10000,256M,3.84e-05,6.3643,577.50,577.50,0
10500,269M,4.032e-05,6.2747,530.98,530.98,0
11000,282M,4.224e-05,6.1957,485.86,485.86,0
11500,294M,4.416e-05,6.0953,452.81,452.81,0
12000,307M,4.608e-05,5.9987,410.49,410.49,0
12500,320M,4.8e-05,5.9662,392.71,392.71,0
13000,333M,4.992e-05,5.8676,352.62,352.62,0
13500,346M,5.184e-05,5.7863,324.46,324.46,0
14000,358M,5.376e-05,5.6894,296.19,296.19,0
14500,371M,5.568e-05,5.6399,277.35,277.35,0
15000,384M,5.76e-05,5.5442,254.29,254.29,0
15500,397M,5.952e-05,5.4910,242.82,242.82,0
16000,410M,6.144e-05,5.4284,228.36,228.36,0
16500,422M,6.336e-05,5.3699,214.02,214.02,0
17000,435M,6.528e-05,5.2929,199.57,199.57,0
17500,448M,6.72e-05,5.2193,185.00,185.00,0
18000,461M,6.912e-05,5.1608,176.06,176.06,0
18500,474M,7.104e-05,5.1214,170.47,170.47,0
19000,486M,7.296e-05,5.0586,160.44,160.44,0
19500,499M,7.488e-05,5.0252,153.62,153.62,0
20000,512M,7.68e-05,4.9654,144.36,144.36,0
20500,525M,7.872e-05,4.9235,138.36,138.36,0
21000,538M,8.064e-05,4.8836,133.62,133.62,0
21500,550M,8.256e-05,4.8736,131.38,131.38,0
22000,563M,8.448e-05,4.8382,125.36,125.36,0
22500,576M,8.64e-05,4.7973,121.89,121.89,0
23000,589M,8.832e-05,4.7659,117.86,117.86,0
23500,602M,9.024e-05,4.7337,115.16,115.16,0
24000,614M,9.216e-05,4.7188,111.59,111.59,0
24500,627M,9.408e-05,4.6905,110.37,110.37,0
25000,640M,9.6e-05,4.6729,106.85,106.85,0
25500,653M,9.792e-05,4.6455,105.54,105.54,0
26000,666M,9.984e-05,4.6008,101.29,101.29,0
26500,678M,0.0001018,4.5852,99.96,99.96,0
27000,691M,0.0001037,4.5599,98.23,98.23,0
27500,704M,0.0001056,4.5533,95.35,98.23,0
28000,717M,0.0001075,4.5411,93.01,93.01,0
28500,730M,0.0001094,4.5273,93.05,93.01,1
29000,742M,0.0001114,4.5164,91.29,91.29,0
29500,755M,0.0001133,4.4928,90.84,90.84,0
30000,768M,0.0001152,4.4754,88.36,88.36,0
30500,781M,0.0001171,4.4711,87.42,87.42,0
31000,794M,0.000119,4.4624,85.86,85.86,0
31500,806M,0.000121,4.4381,83.69,83.69,0
32000,819M,0.0001229,4.4191,82.81,82.81,0
32500,832M,0.0001248,4.4163,83.25,82.81,1
33000,845M,0.0001267,4.3912,81.45,81.45,0
33500,858M,0.0001286,4.3983,81.44,81.44,1
34000,870M,0.0001306,4.3736,79.60,79.60,0
34500,883M,0.0001325,4.3586,78.93,78.93,0
35000,896M,0.0001344,4.3591,78.38,78.38,0
35500,909M,0.0001363,4.3390,77.14,77.14,0
36000,922M,0.0001382,4.3333,76.57,76.57,0
36500,934M,0.0001402,4.3147,74.74,74.74,0
37000,947M,0.0001421,4.3200,75.17,74.74,1
37500,960M,0.000144,4.2894,73.38,73.38,0
38000,973M,0.0001459,4.2875,73.30,73.30,0
38500,986M,0.0001478,4.2826,72.55,72.55,0
39000,998M,0.0001498,4.2698,71.07,71.07,0
39500,1.01B,0.00015,4.2587,71.67,71.07,1
40000,1.02B,0.00015,4.2452,70.83,70.83,0
40500,1.04B,0.00015,4.2423,69.95,69.95,0
41000,1.05B,0.00015,4.2414,68.87,68.87,0
41500,1.06B,0.00015,4.2299,68.84,68.84,0
42000,1.08B,0.00015,4.2126,67.92,67.92,0
42500,1.09B,0.00015,4.2102,67.69,67.69,0
43000,1.1B,0.00015,4.1999,67.21,67.21,0
43500,1.11B,0.00015,4.1871,67.04,67.04,0
44000,1.13B,0.00015,4.1885,66.10,66.10,0
44500,1.14B,0.00015,4.1721,65.61,65.61,0
45000,1.15B,0.00015,4.1681,65.52,65.52,0
45500,1.16B,0.00015,4.1701,64.55,64.55,0
46000,1.18B,0.00015,4.1545,64.56,64.55,1
46500,1.19B,0.00015,4.1451,64.22,64.22,0
47000,1.2B,0.00015,4.1496,63.61,63.61,0
47500,1.22B,0.00015,4.1258,63.08,63.08,0
48000,1.23B,0.00015,4.1440,63.64,63.08,1
48500,1.24B,0.00015,4.1328,62.44,62.44,0
49000,1.25B,0.00015,4.1181,62.21,62.21,0
49500,1.27B,0.00015,4.1199,61.05,61.05,0
50000,1.28B,0.00015,4.1111,60.99,60.99,0
50500,1.29B,0.00015,4.1022,60.57,60.57,0
51000,1.31B,0.00015,4.0932,60.54,60.54,0
51500,1.32B,0.00015,4.1000,60.21,60.21,0
52000,1.33B,0.00015,4.0865,60.40,60.21,1
52500,1.34B,0.00015,4.0834,59.65,59.65,0
53000,1.36B,0.00015,4.0767,60.10,59.65,1
53500,1.37B,0.00015,4.0669,59.44,59.44,0
54000,1.38B,0.00015,4.0814,58.90,58.90,0
54500,1.4B,0.00015,4.0600,58.15,58.15,0
55000,1.41B,0.00015,4.0647,58.79,58.15,1
55500,1.42B,0.00015,4.0575,58.66,58.15,2
56000,1.43B,0.00015,4.0460,58.29,58.15,3
56500,1.45B,0.00015,4.0458,57.79,57.79,0
57000,1.46B,0.00015,4.0477,57.65,57.65,0
57500,1.47B,0.00015,4.0462,57.80,57.65,1
58000,1.48B,0.00015,4.0236,57.38,57.38,0
58500,1.5B,0.00015,4.0380,57.29,57.29,0
59000,1.51B,0.00015,4.0390,57.15,57.15,0
59500,1.52B,0.00015,4.0330,56.10,56.10,0
60000,1.54B,0.00015,4.0374,56.29,56.10,1
60500,1.55B,0.00015,4.0184,56.53,56.10,2
61000,1.56B,0.00015,4.0202,56.11,56.10,3
61500,1.57B,0.0001499,4.0124,55.31,55.31,0
62000,1.59B,0.0001499,4.0108,55.50,55.31,1
62500,1.6B,0.0001499,4.0120,55.25,55.25,0
63000,1.61B,0.0001499,4.0091,55.58,55.25,1
63500,1.63B,0.0001499,4.0084,55.56,55.25,2
64000,1.64B,0.0001499,4.0083,55.17,55.17,0
64500,1.65B,0.0001499,3.9948,54.68,54.68,0
65000,1.66B,0.0001499,3.9921,54.69,54.68,1
65500,1.68B,0.0001499,3.9915,54.83,54.68,2
66000,1.69B,0.0001499,3.9837,54.73,54.68,3
66500,1.7B,0.0001499,3.9918,54.56,54.56,0
67000,1.72B,0.0001499,3.9849,54.37,54.37,0
67500,1.73B,0.0001499,3.9727,53.80,53.80,0
68000,1.74B,0.0001499,3.9739,53.93,53.80,1
68500,1.75B,0.0001499,3.9809,53.74,53.74,0
69000,1.77B,0.0001499,3.9678,53.35,53.35,0
69500,1.78B,0.0001499,3.9700,53.58,53.35,1
70000,1.79B,0.0001499,3.9659,52.95,52.95,0
70500,1.8B,0.0001499,3.9655,53.13,52.95,1
71000,1.82B,0.0001499,3.9619,52.89,52.89,0
71500,1.83B,0.0001499,3.9580,52.38,52.38,0
72000,1.84B,0.0001499,3.9594,52.76,52.38,1
72500,1.86B,0.0001499,3.9513,52.92,52.38,2
73000,1.87B,0.0001499,3.9493,52.60,52.38,3
73500,1.88B,0.0001499,3.9395,52.40,52.38,4
74000,1.89B,0.0001499,3.9530,51.86,51.86,0
74500,1.91B,0.0001499,3.9448,52.06,51.86,1
75000,1.92B,0.0001499,3.9345,52.30,51.86,2
75500,1.93B,0.0001499,3.9457,52.75,51.86,3
76000,1.95B,0.0001499,3.9502,52.10,51.86,4
76500,1.96B,0.0001499,3.9371,51.80,51.80,0
77000,1.97B,0.0001499,3.9411,51.41,51.41,0
77500,1.98B,0.0001499,3.9407,52.50,51.41,1
78000,2B,0.0001498,3.9335,51.25,51.25,0
78500,2.01B,0.0001498,3.9228,51.20,51.20,0
79000,2.02B,0.0001498,3.9270,51.03,51.03,0
79500,2.04B,0.0001498,3.9216,51.43,51.03,1
80000,2.05B,0.0001498,3.9200,50.45,50.45,0
80500,2.06B,0.0001498,3.9211,50.29,50.29,0
81000,2.07B,0.0001498,3.9153,50.59,50.29,1
81500,2.09B,0.0001498,3.9223,50.75,50.29,2
82000,2.1B,0.0001498,3.9287,51.18,50.29,3
82500,2.11B,0.0001498,3.9169,50.70,50.29,4
83000,2.12B,0.0001498,3.9247,50.36,50.29,5
83500,2.14B,0.0001498,3.9016,50.57,50.29,6
84000,2.15B,0.0001498,3.9110,50.26,50.26,0
84500,2.16B,0.0001498,3.8994,50.29,50.26,1
85000,2.18B,0.0001498,3.9049,50.58,50.26,2
85500,2.19B,0.0001498,3.9107,49.89,49.89,0
86000,2.2B,0.0001498,3.9091,49.89,49.89,1
86500,2.21B,0.0001498,3.9074,50.15,49.89,2
87000,2.23B,0.0001498,3.8962,50.05,49.89,3
87500,2.24B,0.0001498,3.9087,50.24,49.89,4
88000,2.25B,0.0001498,3.9050,49.87,49.87,0
88500,2.27B,0.0001498,3.8986,49.93,49.87,1
89000,2.28B,0.0001497,3.9018,49.94,49.87,2
89500,2.29B,0.0001497,3.9080,49.79,49.79,0
90000,2.3B,0.0001497,3.8871,49.42,49.42,0
90500,2.32B,0.0001497,3.8825,48.88,48.88,0
91000,2.33B,0.0001497,3.8916,49.40,48.88,1
91500,2.34B,0.0001497,3.8875,49.65,48.88,2
92000,2.36B,0.0001497,3.8884,48.95,48.88,3
92500,2.37B,0.0001497,3.8814,49.02,48.88,4
93000,2.38B,0.0001497,3.8797,49.19,48.88,5
93500,2.39B,0.0001497,3.8898,49.36,48.88,6
94000,2.41B,0.0001497,3.8850,49.18,48.88,7
94500,2.42B,0.0001497,3.8917,48.98,48.88,8
95000,2.43B,0.0001497,3.8756,48.88,48.88,9
95500,2.44B,0.0001497,3.8788,49.07,48.88,10
